time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2019-05-13 04 PM,1.34671,1.34782,1.34671,1.34752,1.34685,1.34798,1.34685,1.34770
2019-05-13 05 PM,1.34754,1.34810,1.34685,1.34697,1.34772,1.34833,1.34702,1.34714
2019-05-13 06 PM,1.34701,1.34746,1.34631,1.34682,1.34716,1.34763,1.34648,1.34699
2019-05-13 07 PM,1.34680,1.34753,1.34659,1.34700,1.34697,1.34769,1.34677,1.34714
2019-05-13 08 PM,1.34698,1.34826,1.34678,1.34809,1.34711,1.34871,1.34696,1.34854
2019-05-13 09 PM,1.34763,1.34819,1.34674,1.34802,1.34808,1.34864,1.34719,1.34847
2019-05-13 10 PM,1.34806,1.34866,1.34782,1.34829,1.34851,1.34891,1.34823,1.34850
2019-05-13 11 PM,1.34832,1.34834,1.34759,1.34781,1.34851,1.34851,1.34781,1.34800
2019-05-14,1.34783,1.34783,1.34626,1.34627,1.34802,1.34802,1.34645,1.34648
2019-05-14 01 AM,1.34630,1.34703,1.34628,1.34703,1.34650,1.34722,1.34648,1.34718
2019-05-14 02 AM,1.34703,1.34769,1.34679,1.34752,1.34723,1.34788,1.34696,1.34770
2019-05-14 03 AM,1.34749,1.34752,1.34670,1.34680,1.34768,1.34770,1.34688,1.34698
2019-05-14 04 AM,1.34682,1.34714,1.34672,1.34692,1.34701,1.34731,1.34690,1.34709
2019-05-14 05 AM,1.34693,1.34693,1.34637,1.34640,1.34712,1.34712,1.34655,1.34657
2019-05-14 06 AM,1.34641,1.34723,1.34611,1.34677,1.34660,1.34741,1.34630,1.34695
2019-05-14 07 AM,1.34675,1.34693,1.34584,1.34677,1.34693,1.34713,1.34604,1.34694
2019-05-14 08 AM,1.34675,1.34713,1.34568,1.34597,1.34691,1.34731,1.34586,1.34612
2019-05-14 09 AM,1.34596,1.34662,1.34589,1.34632,1.34618,1.34679,1.34605,1.34648
2019-05-14 10 AM,1.34632,1.34668,1.34555,1.34578,1.34653,1.34685,1.34574,1.34600
2019-05-14 11 AM,1.34585,1.34718,1.34552,1.34708,1.34599,1.34733,1.34571,1.34723
2019-05-14 12 PM,1.34706,1.34863,1.34645,1.34765,1.34720,1.34882,1.34662,1.34782
2019-05-14 01 PM,1.34767,1.34840,1.34701,1.34786,1.34785,1.34856,1.34721,1.34804
2019-05-14 02 PM,1.34784,1.34784,1.34588,1.34632,1.34801,1.34801,1.34605,1.34651
2019-05-14 03 PM,1.34631,1.34721,1.34610,1.34663,1.34648,1.34739,1.34626,1.34680
2019-05-14 04 PM,1.34665,1.34698,1.34629,1.34697,1.34684,1.34714,1.34646,1.34714
2019-05-14 05 PM,1.34694,1.34706,1.34587,1.34632,1.34711,1.34724,1.34604,1.34647
2019-05-14 06 PM,1.34634,1.34673,1.34569,1.34660,1.34650,1.34692,1.34587,1.34678
2019-05-14 07 PM,1.34659,1.34680,1.34605,1.34639,1.34675,1.34698,1.34622,1.34655
2019-05-14 08 PM,1.34641,1.34677,1.34601,1.34619,1.34657,1.34698,1.34618,1.34664
2019-05-14 09 PM,1.34615,1.34652,1.34595,1.34603,1.34660,1.34697,1.34640,1.34648
2019-05-14 10 PM,1.34599,1.34615,1.34552,1.34567,1.34644,1.34660,1.34576,1.34592
2019-05-14 11 PM,1.34570,1.34602,1.34570,1.34600,1.34593,1.34621,1.34593,1.34618
2019-05-15,1.34602,1.34722,1.34599,1.34666,1.34621,1.34743,1.34618,1.34683
2019-05-15 01 AM,1.34669,1.34684,1.34573,1.34603,1.34685,1.34702,1.34591,1.34627
2019-05-15 02 AM,1.34605,1.34692,1.34592,1.34602,1.34630,1.34712,1.34609,1.34620
2019-05-15 03 AM,1.34605,1.34641,1.34601,1.34610,1.34621,1.34658,1.34617,1.34625
2019-05-15 04 AM,1.34606,1.34643,1.34602,1.34631,1.34625,1.34661,1.34620,1.34648
2019-05-15 05 AM,1.34628,1.34649,1.34592,1.34601,1.34645,1.34667,1.34610,1.34620
2019-05-15 06 AM,1.34601,1.34705,1.34601,1.34683,1.34625,1.34720,1.34625,1.34700
2019-05-15 07 AM,1.34686,1.34764,1.34686,1.34714,1.34704,1.34781,1.34704,1.34732
2019-05-15 08 AM,1.34717,1.34757,1.34694,1.34708,1.34735,1.34773,1.34712,1.34724
2019-05-15 09 AM,1.34704,1.34801,1.34668,1.34764,1.34723,1.34819,1.34685,1.34781
2019-05-15 10 AM,1.34766,1.34866,1.34743,1.34794,1.34786,1.34883,1.34762,1.34811
2019-05-15 11 AM,1.34791,1.34810,1.34708,1.34750,1.34808,1.34827,1.34724,1.34767
2019-05-15 12 PM,1.34748,1.34928,1.34656,1.34818,1.34765,1.34943,1.34746,1.34835
2019-05-15 01 PM,1.34821,1.34843,1.34726,1.34797,1.34837,1.34861,1.34742,1.34815
2019-05-15 02 PM,1.34795,1.34827,1.34436,1.34474,1.34812,1.34843,1.34453,1.34490
2019-05-15 03 PM,1.34471,1.34560,1.34312,1.34323,1.34487,1.34577,1.34328,1.34340
