time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021-06-25 04 PM,1.38972,1.39076,1.38949,1.39013,1.38989,1.39092,1.38964,1.39031
2021-06-25 05 PM,1.39010,1.39024,1.38845,1.38880,1.39028,1.39040,1.38861,1.38898
2021-06-25 06 PM,1.38884,1.38884,1.38704,1.38749,1.38899,1.38899,1.38721,1.38764
2021-06-25 07 PM,1.38746,1.38895,1.38741,1.38885,1.38762,1.38913,1.38760,1.38904
2021-06-25 08 PM,1.38883,1.38914,1.38716,1.38773,1.38902,1.38933,1.38822,1.38923
2021-06-27 09 PM,1.38899,1.38924,1.38714,1.38734,1.39049,1.39074,1.38864,1.38884
2021-06-27 10 PM,1.38709,1.38890,1.38709,1.38890,1.38859,1.39002,1.38824,1.38912
2021-06-27 11 PM,1.38893,1.38956,1.38889,1.38955,1.38914,1.38976,1.38905,1.38973
2021-06-28,1.38949,1.38955,1.38827,1.38901,1.38969,1.38972,1.38846,1.38922
2021-06-28 01 AM,1.38898,1.38921,1.38755,1.38810,1.38920,1.38941,1.38775,1.38831
2021-06-28 02 AM,1.38809,1.38849,1.38757,1.38817,1.38827,1.38868,1.38778,1.38835
2021-06-28 03 AM,1.38814,1.38875,1.38791,1.38852,1.38833,1.38893,1.38808,1.38870
2021-06-28 04 AM,1.38853,1.38914,1.38848,1.38899,1.38873,1.38934,1.38870,1.38921
2021-06-28 05 AM,1.38901,1.38994,1.38889,1.38938,1.38923,1.39016,1.38905,1.38958
2021-06-28 06 AM,1.38941,1.39247,1.38889,1.39222,1.38960,1.39262,1.38905,1.39242
2021-06-28 07 AM,1.39219,1.39389,1.39187,1.39252,1.39240,1.39405,1.39203,1.39270
2021-06-28 08 AM,1.39255,1.39257,1.38958,1.39246,1.39272,1.39274,1.38974,1.39261
2021-06-28 09 AM,1.39245,1.39278,1.39067,1.39147,1.39258,1.39295,1.39085,1.39162
2021-06-28 10 AM,1.39149,1.39255,1.38999,1.39109,1.39165,1.39273,1.39016,1.39126
2021-06-28 11 AM,1.39107,1.39134,1.38855,1.38895,1.39124,1.39151,1.38871,1.38911
2021-06-28 12 PM,1.38897,1.39088,1.38856,1.39008,1.38913,1.39102,1.38872,1.39026
2021-06-28 01 PM,1.39006,1.39163,1.38844,1.39119,1.39023,1.39177,1.38861,1.39134
2021-06-28 02 PM,1.39122,1.39257,1.38824,1.38911,1.39138,1.39275,1.38840,1.38927
2021-06-28 03 PM,1.38909,1.38989,1.38812,1.38941,1.38925,1.39008,1.38829,1.38958
2021-06-28 04 PM,1.38940,1.38941,1.38798,1.38829,1.38955,1.38958,1.38814,1.38843
2021-06-28 05 PM,1.38831,1.38874,1.38793,1.38835,1.38847,1.38890,1.38809,1.38851
2021-06-28 06 PM,1.38833,1.38856,1.38758,1.38774,1.38849,1.38870,1.38774,1.38790
2021-06-28 07 PM,1.38771,1.38781,1.38732,1.38736,1.38788,1.38799,1.38749,1.38751
2021-06-28 08 PM,1.38739,1.38793,1.38702,1.38774,1.38752,1.38853,1.38716,1.38834
2021-06-28 09 PM,1.38788,1.38812,1.38724,1.38774,1.38848,1.38872,1.38784,1.38834
2021-06-28 10 PM,1.38780,1.38809,1.38760,1.38774,1.38840,1.38841,1.38796,1.38798
2021-06-28 11 PM,1.38770,1.38785,1.38752,1.38775,1.38793,1.38808,1.38775,1.38795
2021-06-29,1.38778,1.38796,1.38584,1.38626,1.38797,1.38818,1.38609,1.38645
2021-06-29 01 AM,1.38624,1.38703,1.38604,1.38665,1.38643,1.38720,1.38625,1.38681
2021-06-29 02 AM,1.38661,1.38686,1.38578,1.38667,1.38681,1.38703,1.38597,1.38683
2021-06-29 03 AM,1.38664,1.38674,1.38612,1.38646,1.38681,1.38688,1.38634,1.38665
2021-06-29 04 AM,1.38647,1.38689,1.38627,1.38636,1.38668,1.38708,1.38648,1.38656
2021-06-29 05 AM,1.38637,1.38788,1.38628,1.38756,1.38659,1.38808,1.38649,1.38773
2021-06-29 06 AM,1.38753,1.38765,1.38628,1.38697,1.38771,1.38780,1.38644,1.38714
2021-06-29 07 AM,1.38696,1.38697,1.38538,1.38574,1.38711,1.38711,1.38554,1.38590
2021-06-29 08 AM,1.38574,1.38607,1.38358,1.38359,1.38594,1.38624,1.38375,1.38379
